id,sent1,sent2,ending0,ending1,ending2,ending3,ending4,end0type,end1type,end2type,end3type,end4type,label
5669,am the team coach,,talk to the batsman,instead sit on the sidelines and watch him instead,show the boy how to hit the ball more effectively,practice with the tennis ball,teach them how to use a bat,vis,vis,targ,lan,lan,2
5670,am crazy,,run onto the field and intervene the players,play soccer with the ball on the field,need to play the ball in the right place,play soccer with a group of people,dodge so the tennis ball will not hit me,targ,lan,vis,lan,vis,0
5671,if i am careful,,run onto the field and intervene the players,use my bat to hit the baseball,hold the raquet just so and fire a perfect volley.,i will caught the ball,grab my glove and take a position in this game.,vis,lan,vis,targ,lan,3
5672,i want to win,,i will throw the ball,hold the raquet just so and fire a perfect volley.,watch the girls finish the play to see if the runner is out,i will have to go play with the tennis racket and the ball,i will show you how to swing the bat.,targ,vis,vis,lan,lan,0
5673,win i'll be happy.,,serve the ball.,play football on a pitch,watch what is happening on the field,instead sit on the sidelines and watch him instead,play a game of rugby,targ,lan,vis,vis,lan,0
5674,feel sporty,,watch the girls finish the play to see if the runner is out,throw the baseball to a team member,throw it back to the girl.,throw the ball,glance back to see how close my opponents are,vis,lan,lan,targ,vis,3
5675,want to know how far ahead i am in the race,,glance back to see how close my opponents are,retrieve it and throw it back to the boy on the court.,applaud when the player wins a point,boost my teammates up in a huddle,hope the boy hits the ball,targ,vis,lan,lan,vis,0
5676,want to have fun,,play baseball,play baseball.,watch what is happening on the field,play ball with the man,hold the raquet just so and fire a perfect volley.,lan,lan,vis,targ,vis,3
5677,want to get a momento,,dodge so the tennis ball will not hit me,glance back to see how close my opponents are,try to catch the ball if it goes out of the field,catch the frisbee and throw it in another direction,go and watch a baseball player whack that ball,vis,vis,targ,lan,lan,2
5678,i am feeling excited today.,,closely watch the man catching the baseball,i will catch this ball.,catch and throw the frisbee back to the kid,run onto the field and intervene the players,hold the raquet just so and fire a perfect volley.,lan,targ,lan,vis,vis,1
5679,want to play,,try to catch the baseball if it is a foul ball.,move into the net to take the shot,grab the baseball off of the tee,hold the raquet just so and fire a perfect volley.,catch the ball,lan,vis,lan,vis,targ,4
5680,want to practice,,cheer the child that caught the ball,practice swinging the bat,practice with the tennis ball,hit the ball with the racket,watch the girls finish the play to see if the runner is out,vis,lan,lan,targ,vis,3
5681,am feeling athletic,,play soccer with this group,will kick the ball.,catch the frisbbe and throw it again,tag the runner and trip him at the same time,retrieve it and throw it back to the boy on the court.,lan,targ,lan,vis,vis,1
5682,want to feel like a legand,,try to catch the baseball if it is a foul ball.,hold the raquet just so and fire a perfect volley.,do the right thing with the ball,instead sit on the sidelines and watch him instead,applaud the player's hit.,lan,vis,targ,vis,lan,2
5683,want to score a run,,throw the ball at the bat,run fast to the base,start running after droping the bat,cheer the child that caught the ball,watch the girls finish the play to see if the runner is out,lan,targ,lan,vis,vis,1
5684,am in the fielding team,,follow the umpire instructions.,retrieve it and throw it back to the boy on the court.,try to catch the ball,watch the girls finish the play to see if the runner is out,play on a baseball field,lan,vis,targ,vis,lan,2
5685,was feeling mean,,glance back to see how close my opponents are,instead sit on the sidelines and watch him instead,take the ball from the kids,watch the kids playing their game,play a game of soccer,vis,vis,targ,lan,lan,2
5686,am focusing well,,hold the raquet just so and fire a perfect volley.,instead sit on the sidelines and watch him instead,catch this frisbee and throw it back to my son.,catch the frisbee and throw it in another direction,catch the ball,vis,vis,lan,lan,targ,4
5687,want to win the game,,hit the baseball out of the park.,hold the raquet just so and fire a perfect volley.,catch the frisbbe and throw it again,hit the ball.,instead sit on the sidelines and watch him instead,lan,vis,lan,targ,vis,3
5688,want to avoid a run from the other team,,touch the player before he gets home,my racket will hit the ball,stay behind the player,get to the soccer ball before the other players,practice with cones a lot,targ,vis,lan,lan,vis,0
5689,was playing i would be the catcher.,,instead sit on the sidelines and watch him instead,catch it in my glove,hold the raquet just so and fire a perfect volley.,catch the ball,catch this frisbee and throw it back to my son.,vis,lan,vis,targ,lan,3
5690,was there i'd want to learn a trick or two,,prepare him to play baseball,use my forehand hit with accuracy,hit the ball more often.,instead sit on the sidelines and watch him instead,take a seat on the bench like the man,lan,vis,vis,targ,lan,3
5691,don't win i'll be sad.,,instead sit on the sidelines and watch him instead,hit the ball with my racket.,hit the baseball out of the park.,watch the girls finish the play to see if the runner is out,play some tennis,vis,targ,lan,vis,lan,1
5692,want to score an out,,keep my foot on the base before catching the ball,instead sit on the sidelines and watch him instead,hit the ball with my bat.,hit the ball with my bat,move into the net to take the shot,targ,vis,lan,lan,vis,0
5693,want to play a game,,i will throw the bat away and run to the base,i will play baseball with the team.,instead sit on the sidelines and watch him instead,i will hit the ball,hold the raquet just so and fire a perfect volley.,lan,lan,vis,targ,vis,3
5694,want to win this point,,hold the raquet just so and fire a perfect volley.,hit the baseball and get a base hit,hit the ball,watch the girls finish the play to see if the runner is out,hit the baseball out of the park.,vis,lan,targ,vis,lan,2
5695,want to feel athletic,,stay out of the way of the bat,catch it in my glove,hit the ball far,instead sit on the sidelines and watch him instead,run onto the field and intervene the players,lan,lan,targ,vis,vis,2
5696,want to win,,bring my tennis racket to the court,get the boy out with this ball,will run to hit the ball with my racket,pick up another tennis racket and play against the man,put on a vest and try to get the ball,lan,vis,targ,lan,vis,2
5697,feel sporty,,play soccer with the ball on the field,run and try to catch the ball,talk to the batsman,dodge so the tennis ball will not hit me,catch the frisbee and throw it in another direction,lan,targ,vis,vis,lan,1
5698,care about sports,,watch the ball game,try to catch the baseball if it is a foul ball.,retrieve it and throw it back to the boy on the court.,hit the ball with the bat,prepare to shield my face when the girl kicks the ball,targ,lan,vis,lan,vis,0
5699,wonder what he's thinking,,watch what is happening on the field,watch the girls finish the play to see if the runner is out,throw a baseball to my teammates,steal the ball in flight,play soccer in the field,vis,vis,lan,targ,lan,3
5700,i love this sport,,instead sit on the sidelines and watch him instead,shoot ball,watch the girls finish the play to see if the runner is out,grab the baseball off of the tee,catch the frisbee and throw it in another direction,vis,targ,vis,lan,lan,1
5701,played a sport it would be this,,instead sit on the sidelines and watch him instead,hit balls over the net,hit the baseball,glance back to see how close my opponents are,hit the baseball out of the park.,vis,targ,lan,vis,lan,1
5702,played i would be the pitcher,,play soccer with the ball on the field,hold the raquet just so and fire a perfect volley.,join in the game of football,throw the ball at the boy,glance back to see how close my opponents are,lan,vis,lan,targ,vis,3
5703,am feeling sporty,,hit the baseball with my bat,watch what is happening on the field,practice my swing for tennis,hit the ball as far as i can,instead sit on the sidelines and watch him instead,lan,vis,lan,targ,vis,3
5704,played sports i would watch this one,,score the winning goal,kick a goal,glance back to see how close my opponents are,hit the ball over the net,instead sit on the sidelines and watch him instead,lan,lan,vis,targ,vis,3
5705,wanted to cause a scene,,throw the ball at the bat,watch her hit this tennis ball,cheer the child that caught the ball,run out onto the court,move out of the line of shot of the baseball player,lan,vis,vis,targ,lan,3
